userID,age,domain,expertise,workExperience,lastExperience
6116ee8fcd5414630d3527e8,30,text,5,121,2
611f5fca1c852d6d56e5bf8d,31,text,4,84,6
61687f084dd0608f43a02d0e,27,text,3,6,1
5d8c9182bc22d700191aef2b,39,text,5,33,6
611e182dfe4a100e7d271c7e,27,text,4,0,1
5eceef5fa487421604c337ba,25,text,5,0,5
61227cb134d2ee7a4a125ef7,25,text,3,8,3
5aad8904e1546900019aef8e,39,text,3,0,4
602fd43a4bcf02d4aac8ef3c,23,text,4,6,2
5fa507fa0776431b370bc0c7,41,text,5,121,2
61612589346d8995f94f2dc9,24,text,4,60,1
61141c855eb58d6a4e3d8d5b,25,text,4,6,4
60eee9b2a83c9d1e14de4788,22,text,4,24,4
6020206b9b158a5df011ff1f,21,text,4,12,2
615b26a3c79a404be3c4c35e,26,text,3,3,1
60f958dea810a7a0cf3d14d9,21,text,5,121,4
6136aee758e3f41323d8c0c7,23,text,3,6,6
6074de03363deb52b54eccf4,19,text,3,0,2
5dcd5aa07e5deb02d76958d2,34,text,2,0,0
595bd5c85ae9a80001ce3426,31,text,3,48,3
5f64f12fc0570701c3bfbe7a,22,image,1,1,1
602e757b94c5aea0de8a57ca,23,image,1,0,1
60d96d582f946a04161d162d,22,image,1,0,2
60a57ec89138a40a4a5acc63,20,image,1,12,4
60a256f83ef6ada5debc47a9,30,image,0,0,2
5f82e997eec0860404c8f790,24,image,0,0,2
6166c8527a09b5122fcea989,28,image,1,12,4
5ef0a7a320e4520009b3af18,42,image,1,24,2
59cbec4f0aaf750001213f9c,28,image,1,1,5
6093c19a7a851064a7684f66,28,image,2,12,1
5c73a8b843afac0001428e6a,38,image,2,84,2
5c6d938c79151c00017c7560,24,image,2,15,1
612c95f4a142b9dc63cc45a0,21,image,2,12,1
6109d60c4aae2cc46ce9aaf7,30,image,3,120,2
60d102d6cb41f508b8174aa6,23,image,0,0,0
6150c67f0ff4d92f7621a1b3,28,image,1,0,1
60db1aa26a738eacd0a5e22f,24,image,1,0,1
6133586c82c52424d8d5ed6a,26,image,0,0,0
5a0faf7a120fb3000194961d,27,image,2,0,1
6166d663ad32ab706018e2e3,22,image,0,0,3
5eb17f5f5b4ec12749a65a24,26,mesh,0,0,0
5e767f6c99df851e0e93c629,21,mesh,1,1,6
602ad4a0805527185ca10247,25,mesh,1,0,6
5ee623674afa60375e30eec3,24,mesh,1,6,1
5f0b339a2906a406fed096f0,19,mesh,1,0,0
60fc39cce64c39328a7c8904,26,mesh,1,2,3
613efd8304b3c6f1247354bb,28,mesh,2,2,5
613e4bf960ca68f8de00e5e7,19,mesh,3,0,1
60e343946a7faddde88fbe3c,28,mesh,2,0,4
6169e8a8311d269013eb73c7,26,mesh,0,0,0
609a7d5287ca8fb83e0780d4,21,mesh,2,0,1
6154918f83e8ca861b23ea04,52,mesh,0,0,0
608c349d8e7f57e8f84d3a27,27,mesh,0,0,0
614e82d5717d691f24efffc0,31,mesh,1,7,6
60dbbc0ae0cea5626de2ac0a,24,mesh,0,0,0
60c048ca962103e0da201a34,39,mesh,0,0,0
5f9aba6600cdf11f1c9b915c,25,mesh,1,5,2
5f6dff31d44be62b675aa6f7,24,mesh,1,3,2
60087e9189ddb34b79b08be5,27,mesh,1,6,2
613bbfebd7cdd60585f6a3a2,20,mesh,0,0,0
